0.005	-2210.17
0.015	-2201.15
0.025	-2183.19
0.035	-2156.44
0.045	-2121.16
0.055	-2077.66
0.065	-2026.29
0.075	-1967.54
0.085	-1901.87
0.095	-1829.83
0.105	-1751.99
0.115	-1668.97
0.125	-1581.37
0.135	-1489.79
0.145	-1394.92
0.155	-1297.39
0.165	-1197.7
0.175	-1096.6
0.185	-994.4
0.195	-891.799999999999
0.205	-789.199999999999
0.215	-687.199999999999
0.225	-585.9
0.235	-486
0.245	-387.4
0.255	-290.9
0.265	-196.300000000001
0.275	-104.099999999999
0.285	-14.2999999999993
0.295	72.7999999999993
0.305	157
0.315	238.199999999999
0.325	316.300000000001
0.335	391.099999999999
0.345	462.4
0.355	530.200000000001
0.365	594.059999999999
0.375	654.07
0.385	709.960000000001
0.395	761.51
0.405	808.559999999999
0.415	850.870000000001
0.425	888.25
0.435	920.52
0.445	947.48
0.455	968.95
0.465	984.79
0.475	994.88
0.485	999.110000000001
0.495	997.43
0.505	989.83
0.515	976.35
0.525	957.07
0.535	932.12
0.545	901.7
0.555	866.040000000001
0.565	825.46
0.575	780.280000000001
0.585	730.900000000001
0.595	677.75
0.605	621.31
0.615	562.07
0.625	500.54
0.635	437.26
0.645	372.77
0.655	307.6
0.665	242.29
0.675	177.34
0.685	113.24
0.695	50.4199999999992
0.705	-10.6799999999998
0.715	-69.6900000000001
0.725	-126.28
0.735	-180.18
0.745	-231.14
0.755	-278.97
0.765	-323.55
0.775	-364.77
0.785	-402.56
0.795	-436.91
0.805	-467.82
0.815	-495.32
0.825	-519.46
0.835	-540.32
0.845	-557.97
0.855	-572.48
0.865	-583.91
0.875	-592.35
0.885	-597.85
0.895	-600.47
0.905	-600.23
0.915	-597.18
0.925	-591.32
0.935	-582.66
0.945	-571.2
0.955	-556.95
0.965	-539.91
0.975	-520.09
0.985	-497.52
0.995	-472.24
1.005	-444.32
1.015	-413.85
1.025	-380.98
1.035	-345.85
1.045	-308.67
1.055	-269.69
1.065	-229.19
1.075	-187.49
1.085	-144.94
1.095	-101.95
1.105	-58.9099999999999
1.115	-16.29
1.125	25.49
1.135	65.952
1.145	104.645
1.155	141.128
1.165	174.9758
1.175	205.7991
1.185	233.2438
1.195	257.004
1.205	276.828
1.215	292.526
1.225	303.972
1.235	311.115
1.245	313.958
1.255	312.6
1.265	307.2
1.275	297.97
1.285	285.22
1.295	269.27
1.305	250.53
1.315	229.42
1.325	206.43
1.335	182.03
1.345	156.74
1.355	131.04
1.365	105.43
1.375	80.3800000000001
1.385	56.3300000000002
1.395	33.6800000000001
1.405	12.7900000000001
1.415	-6.05000000000007
1.425	-22.585
1.435	-36.6339999999999
1.445	-48.076
1.455	-56.8580000000001
1.465	-62.983
1.475	-66.515
1.485	-67.576
1.495	-66.336
1.505	-63.011
1.515	-57.848
1.525	-51.129
1.535	-43.152
1.545	-34.228
1.555	-24.674
1.565	-14.7972
1.575	-4.89660000000001
1.585	4.75060000000001
1.595	13.891
1.605	22.3039
1.615	29.7997
1.625	36.231
1.635	41.486
1.645	45.4948
1.655	48.2263
1.665	49.6874
1.675	49.9207
1.685	48.9987
1.695	47.0243
1.705	44.1196
1.715	40.4297
1.725	36.1071
1.735	31.314
1.745	26.2161
1.755	20.973
1.765	15.7384
1.775	10.6547
1.785	5.8484
1.795	1.4288
1.805	-2.51462
1.815	-5.91389
1.825	-8.72247
1.835	-10.9153
1.845	-12.4883
1.855	-13.4563
1.865	-13.8518
1.875	-13.722
1.885	-13.1265
1.895	-12.13431
1.905	-10.82087
1.915	-9.26492
1.925	-7.545771
1.935	-5.74061
1.945	-3.9219
1.955	-2.1557
1.965	-0.499399999999998
1.975	0.998700000000003
1.985	2.3012
1.995	3.3814
2.005	4.2231
2.015	4.8208
2.025	5.1782
2.035	5.3077
2.045	5.2286
2.055	4.9661
2.065	4.5493
2.075	4.0097
2.085	3.3794
2.095	2.69033
2.105	1.971725
2.115	1.24985
2.125	0.5467
2.135	-0.120699999999999
2.145	-0.740600000000001
2.155	-1.3067
2.165	-1.8184
2.175	-2.2798
2.185	-2.6997
2.195	-3.0904
2.205	-3.4673
2.215	-3.8473
2.225	-4.2483
2.235	-4.6876
2.245	-5.1815
2.255	-5.7436
2.265	-6.38453
2.275	-7.11127
2.285	-7.92608
2.295	-8.82684
2.305	-9.80654
2.315	-10.85349
2.325	-11.95161
2.335	-13.08087
2.345	-14.21795
2.355	-15.33697
2.365	-16.41038
2.375	-17.40993
2.385	-18.30754
2.395	-19.076288
2.405	-19.69165
2.415	-20.13192
2.425	-20.3791
2.435	-20.4196
2.445	-20.2449
2.455	-19.8513
2.465	-19.2407
2.475	-18.4202
2.485	-17.402
2.495	-16.2029
2.505	-14.844
2.515	-13.3501
2.525	-11.7486
2.535	-10.069
2.545	-8.3421
2.555	-6.5989
2.565	-4.87
2.575	-3.1842
2.585	-1.5687
2.595	-0.047699999999999
2.605	1.358
2.615	2.6313
2.625	3.7592
2.635	4.73260000000001
2.645	5.5472
2.655	6.2024
2.665	6.7017
2.675	7.0522
2.685	7.2639
2.695	7.3499
2.705	7.3247
2.715	7.2049
2.725	7.0076
2.735	6.7505
2.745	6.4506
2.755	6.1245
2.765	5.7872
2.775	5.4522
2.785	5.1311
2.795	4.8333
2.805	4.5659
2.815	4.3338
2.825	4.1395
2.835	3.9834
2.845	3.8641
2.855	3.7783
2.865	3.7219
2.875	3.6889
2.885	3.6733
2.895	3.66831
2.905	3.66741
2.915	3.66418
2.925	3.652744
2.935	3.62798
2.945	3.585719
2.955	3.52279
